	A_no_bat_NonAdap	A_no_bat_Adap	A_combat_cov_NonAdap	A_combat_cov_adap	A_combat_wo_cov_NonAdap	A_combat_wo_cov_adap	A_combat_wo_cov_NonAdap_nofilter	A_combat_wo_cov_adap_no_filter	B_dwd_bild_f	B_dwd_bild	B_combat_wo_cov_f	B_combat_cov_f	A_dwd_bild_NonAdaptive_f	A_dwd_bild_Adaptive_f
TCGA-E2-A15H-01A-11R-A12D-07	0.608306266	0.58612357	0.154527248	0.526691104	0.401601586	0.386094641	0.412307087	0.414044808	0.6215983	0.6199368	0.791506	0.2859077	0.149331667	0.54085949
TCGA-E2-A15I-01A-21R-A137-07	0.504568286	0.4165016	0.115148288	0.45172633	0.209344679	0.181901758	0.207699126	0.234616585	0.0473263	0.0472462	0.2747481	0.080936	0.072079968	0.423267368
TCGA-E2-A15J-01A-11R-A12P-07	0.747440415	0.69285288	0.145599573	0.485863847	0.363409125	0.349909005	0.368305211	0.378944545	0.1638471	0.1618185	0.6801411	0.1208289	0.168729082	0.561392563
TCGA-E2-A15K-01A-11R-A12P-07	0.462472971	0.391265227	0.137615198	0.484092602	0.297198089	0.290990072	0.314175877	0.312593258	0.060308	0.0593453	0.4288199	0.0722041	0.070707534	0.433906304
TCGA-E2-A15K-06A-11R-A12P-07	0.59410774	0.462344736	0.129820058	0.449056503	0.217156428	0.174257946	0.263527534	0.280130733	0.1021417	0.1006394	0.360142	0.0891703	0.100882244	0.533880766
TCGA-E2-A15L-01A-11R-A12D-07	0.79985286	0.688321637	0.154481323	0.469380942	0.370334014	0.319905815	0.333339554	0.389625817	0.146584	0.1454461	0.6616781	0.2206654	0.200190518	0.626819556
TCGA-E2-A15M-01A-11R-A12D-07	0.432728346	0.446833056	0.116209633	0.476502408	0.207121928	0.226002304	0.170171424	0.191865316	0.1615924	0.1619463	0.391919	0.1617386	0.047122159	0.366478043
TCGA-E2-A15O-01A-11R-A115-07	0.437663041	0.260671899	0.101679778	0.405224541	0.20408258	0.227673347	0.226692131	0.218648714	0.0890471	0.0878105	0.2563408	0.0727618	0.058132576	0.406801868
TCGA-E2-A15P-01A-11R-A115-07	0.540191201	0.454525502	0.092415675	0.444521289	0.232382278	0.248012932	0.247323339	0.247023567	0.0966663	0.0968856	0.4463982	0.1286613	0.073983094	0.448039863
TCGA-E2-A15R-01A-11R-A115-07	0.554101795	0.353260168	0.085126517	0.379960885	0.214422421	0.192129018	0.244497041	0.255811005	0.2774074	0.2749236	0.6855976	0.143221	0.094033889	0.521655826
TCGA-E2-A15S-01A-11R-A115-07	0.744898794	0.476085034	0.114504025	0.4317777	0.198651272	0.242454249	0.284660371	0.258007256	0.3207371	0.318142	0.7113575	0.105378	0.187450218	0.623423811
TCGA-E2-A15T-01A-11R-A115-07	0.495145401	0.403550915	0.131764557	0.41511702	0.229659907	0.203820171	0.253116091	0.249295384	0.1320162	0.1302518	0.3823304	0.1428224	0.096329647	0.510616765
TCGA-E2-A1AZ-01A-11R-A12P-07	0.210308848	0.292747877	0.03088545	0.393389023	0.134439125	0.142254672	0.134106664	0.111658894	0.0401628	0.0402036	0.3570041	0.1037127	0.027903992	0.195166442
TCGA-E2-A1B0-01A-11R-A12P-07	0.842799842	0.858740213	0.222079482	0.55176416	0.41510134	0.365269062	0.37896543	0.395963308	0.8091402	0.8074889	0.74487	0.7616171	0.243118807	0.70464224
TCGA-E2-A1B1-01A-21R-A12P-07	0.504559582	0.531968779	0.102678876	0.46652358	0.325761312	0.335978805	0.288257061	0.31556421	0.3232473	0.3225973	0.5326005	0.2356849	0.052381476	0.343746445
TCGA-E2-A1B4-01A-11R-A12P-07	0.659459859	0.528060765	0.13272765	0.444439997	0.331732457	0.264282571	0.341632229	0.367380123	0.1773405	0.1772239	0.5733842	0.1658578	0.164708056	0.548396082
TCGA-E2-A1B5-01A-21R-A12P-07	0.279642863	0.311955076	0.109633468	0.453214556	0.168090761	0.165088326	0.146656735	0.156714313	0.1133657	0.1138186	0.3381968	0.0511026	0.052139303	0.30119667
TCGA-E2-A1B6-01A-31R-A12P-07	0.286207281	0.205925016	0.052385236	0.369023016	0.208651568	0.240012682	0.232177638	0.186452569	0.1872204	0.1874861	0.3851686	0.0764023	0.031498997	0.203727431
TCGA-E2-A1BC-01A-11R-A12P-07	0.476233596	0.438740424	0.106219338	0.462534834	0.27324264	0.219074441	0.227711483	0.295188338	0.1218298	0.1223147	0.4316206	0.1181706	0.069808328	0.415526654
TCGA-E2-A1BD-01A-11R-A12P-07	0.567358121	0.37289514	0.117453995	0.45653733	0.311034981	0.273319427	0.30785746	0.323068909	0.1072663	0.106935	0.5847211	0.1269131	0.116210755	0.485299354
TCGA-E2-A1IE-01A-11R-A13Q-07	0.628619746	0.474818873	0.149762234	0.479633551	0.248815721	0.211564	0.269600453	0.302194606	0.2155262	0.2127003	0.662889	0.1505317	0.153299301	0.551886608
TCGA-E2-A1IF-01A-11R-A144-07	0.447216159	0.339700189	0.085323814	0.437224839	0.403435786	0.391985356	0.368077954	0.40767353	0.0728602	0.0733028	0.5599848	0.1420548	0.065844036	0.397593186
TCGA-E2-A1IG-01A-11R-A144-07	0.477133634	0.393714417	0.124431275	0.469592973	0.412693891	0.395814777	0.426605882	0.429827086	0.0860329	0.084875	0.5850106	0.1270488	0.068525842	0.429720789
TCGA-E2-A1IH-01A-11R-A13Q-07	0.37820414	0.278194569	0.126051354	0.494336964	0.288014948	0.275197895	0.257762572	0.279084809	0.0478344	0.047271	0.4164128	0.0804576	0.052619936	0.364409239
TCGA-E2-A1II-01A-11R-A144-07	0.222485936	0.173809219	0.077574972	0.422900766	0.043440754	0.036141517	0.045445189	0.03619627	0.0135163	0.0132572	0.1905548	0.0367886	0.032748768	0.216426164
TCGA-E2-A1IJ-01A-11R-A144-07	0.423372427	0.372463553	0.098656964	0.455443383	0.337655014	0.333570584	0.30076675	0.330026025	0.0821967	0.0825999	0.4728425	0.1350787	0.053718854	0.375663172
TCGA-E2-A1IK-01A-11R-A144-07	0.49669042	0.389869803	0.111747592	0.453262957	0.207581967	0.199388888	0.229057373	0.238576865	0.0490324	0.0494751	0.4015834	0.0553806	0.08045386	0.420171317
TCGA-E2-A1IL-01A-11R-A14D-07	0.552600393	0.467964497	0.116325849	0.458270827	0.266691748	0.242629236	0.225636804	0.272189248	0.1437434	0.1441799	0.2937718	0.1017377	0.066514014	0.446664557
TCGA-E2-A1IN-01A-11R-A13Q-07	0.550742681	0.443659239	0.159207232	0.501592167	0.362095045	0.346981164	0.358971521	0.366136249	0.146926	0.1451906	0.7249361	0.1475621	0.119561337	0.510342536
TCGA-E2-A1IO-01A-11R-A144-07	0.777944952	0.680354011	0.109844295	0.449705577	0.336305765	0.334397786	0.328774176	0.343109406	0.3218024	0.3207395	0.6542615	0.2746153	0.090544968	0.473474439
TCGA-E2-A1IU-01A-11R-A14D-07	0.650887571	0.467319808	0.104935058	0.440342176	0.304300292	0.276876103	0.324278166	0.334615593	0.1091591	0.1094278	0.3369741	0.1437841	0.094348413	0.514216614
TCGA-E2-A1L6-01A-11R-A13Q-07	0.712125329	0.565689077	0.074145306	0.473187045	0.351172314	0.359793826	0.341885233	0.36953238	0.0917367	0.0920317	0.4417708	0.1316944	0.088984281	0.504066479
